# Planar mass-density profile of confined water (graphene slit).
# Computed with maicos.DensityPlanar(dens="mass", bin_width=0.1, dim=2,
# refgroup=water) on the graphene_water trajectory, centred on the water slab.
# columns: z (Angstrom)    rho (u/Angstrom^3)    sigma_rho (u/Angstrom^3)
    5.5500  0.000000e+00  0.000000e+00
    5.6500  0.000000e+00  0.000000e+00
    5.7500  0.000000e+00  0.000000e+00
    5.8500  0.000000e+00  0.000000e+00
    5.9500  0.000000e+00  0.000000e+00
    6.0500  0.000000e+00  0.000000e+00
    6.1500  0.000000e+00  0.000000e+00
    6.2500  0.000000e+00  0.000000e+00
    6.3500  0.000000e+00  0.000000e+00
    6.4500  0.000000e+00  0.000000e+00
    6.5500  0.000000e+00  0.000000e+00
    6.6500  0.000000e+00  0.000000e+00
    6.7500  0.000000e+00  0.000000e+00
    6.8500  0.000000e+00  0.000000e+00
    6.9500  0.000000e+00  0.000000e+00
    7.0500  0.000000e+00  0.000000e+00
    7.1500  0.000000e+00  0.000000e+00
    7.2500  0.000000e+00  0.000000e+00
    7.3500  0.000000e+00  0.000000e+00
    7.4500  0.000000e+00  0.000000e+00
    7.5500  0.000000e+00  0.000000e+00
    7.6500  0.000000e+00  0.000000e+00
    7.7500  0.000000e+00  0.000000e+00
    7.8500  0.000000e+00  0.000000e+00
    7.9500  0.000000e+00  0.000000e+00
