# This file was generated by DielectricPlanar on Wed, May 28 2025 at 00:27:56 
# 
# DielectricPlanar is part of MAICoS v0.7.2
# 
# Command line:    epsilon_script.py 
# Module input:    DielectricPlanar(atomgroups, dim=2, zmin=None, zmax=None, bin_width=0.5, refgroup=None, is_3d=False, sym=False, vac=False, unwrap=True, temperature=300, output_prefix='eps', concfreq=0, vcutwidth=0.1).run((start=None, stop=None, step=None, verbose=None))
# 
# Statistics over 7084167 frames
# 
# Considered atomgroups:
#   (1) HW 6958 & MW 3479 & OW 3479
# 
# 
# 
#      position [Å]       |       ε_∥ - 1 (1)        |         Δε_∥ (1)         |     self ε_∥ - 1 (1)     |     coll ε_∥ - 1 (1)     
-2.984999999999103792e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.954999999995761328e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.925000000000000000e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.895000000006820784e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.865000000016803483e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.834999999979456220e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.805000000021279405e+01   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00 
-2.775000000000000000e+01   1.764792097314988532e-04   1.231795635786958718e-04   1.318132112986142594e-05   1.632974691498079970e-04 
-2.744999999969368432e+01   9.157177865078894863e-01   1.413812212658270909e-02   1.851682684043106930e-01   7.305498495310779328e-01 
-2.714999999993373692e+01   4.199474081064976616e+01   1.028701360560296679e-01   9.681160936619269464e+00   3.231364023486523251e+01 
-2.685000000018976607e+01   2.291985230347052322e+02   2.960944771135413656e-01   7.792963307966049058e+01   1.512692281592232462e+02 
-2.655000000043702357e+01   3.263122081279104236e+02   3.771995550713269640e-01   1.251948695710419344e+02   2.011177539717573097e+02 
-2.625000000000000000e+01   2.475608671406347412e+02   3.025939477113462894e-01   8.083236885629381163e+01   1.667287280173583781e+02 
-2.594999999978707450e+01   1.600701006895443186e+02   2.215323105531742109e-01   4.379140206760666132e+01   1.162787662312069727e+02 
-2.564999999975164968e+01   1.052360096407697085e+02   1.687666222097053692e-01   2.569439922446499480e+01   7.954164351596307370e+01 
-2.535000000042563784e+01   7.462674775885301415e+01   1.379398055448471938e-01   1.724415125477622368e+01   5.738260435409257809e+01 
-2.505000000025948026e+01   5.943296265005349710e+01   1.215384985471004708e-01   1.344334087244279274e+01   4.598962707902303748e+01 
-2.475000000000000000e+01   5.575092709721824491e+01   1.189600948076118270e-01   1.288493509836452411e+01   4.286599384717492711e+01 
-2.445000000005556018e+01   6.730306973124019976e+01   1.363923334056850456e-01   1.692718276348745476e+01   5.037589937244349159e+01 
-2.414999999923746543e+01   8.962962633972539095e+01   1.674141860918390567e-01   2.542108654761856101e+01   6.420855817708579139e+01 
-2.385000000078728277e+01   1.021584133168096997e+02   1.862589027880809101e-01   3.149604251228535290e+01   7.066238427734305105e+01 
-2.354999999956661583e+01   9.995908969322010762e+01   1.857658789734920046e-01   3.133447324462236949e+01   6.862464203409639651e+01 
-2.325000000000000000e+01   9.059462171871530245e+01   1.752309661621901937e-01   2.791597538630712805e+01   6.267865227465973277e+01 
-2.295000000063421908e+01   8.254402227074886866e+01   1.655643165656117966e-01   2.494156467857699866e+01   5.760247061750128950e+01 
-2.264999999907559314e+01   7.729768970173186915e+01   1.594016273403262851e-01   2.316633999524939824e+01   5.413136280929381172e+01 
-2.235000000094742489e+01   7.370869941298900585e+01   1.559379201630520240e-01   2.214630074113646430e+01   5.156242188360241130e+01 
-2.204999999910869590e+01   7.126033440364206228e+01   1.534364930358072254e-01   2.146875597376137179e+01   4.979159880259157944e+01 
-2.175000000000000000e+01   6.982343459951161435e+01   1.522783562313967942e-01   2.116297911505540341e+01   4.866047514427266663e+01 
-2.145000000049670419e+01   6.944084784592517678e+01   1.526479425894356201e-01   2.122324867920855596e+01   4.821761233726527252e+01 
-2.114999999940404862e+01   7.058101166857461806e+01   1.543671541650724621e-01   2.171712801321884001e+01   4.886391515708071864e+01 
-2.085000000059595138e+01   7.317466647789562728e+01   1.574142407268773747e-01   2.259184675326101654e+01   5.058284364812609368e+01 
-2.054999999914851827e+01   7.655420339762028448e+01   1.614327202942123229e-01   2.371585235441259698e+01   5.283836910450040847e+01 
-2.025000000000000000e+01   7.932054347891200052e+01   1.647118188609340839e-01   2.472425400733003542e+01   5.459631812372287385e+01 
-1.995000000097368442e+01   8.056786481619384688e+01   1.661626490008096813e-01   2.512399214810509918e+01   5.544388549849168157e+01 
-1.964999999976108569e+01   7.990351980579619351e+01   1.651002223695333393e-01   2.480644420486877522e+01   5.509711572168004068e+01 
-1.935000000011347510e+01   7.769210642976494796e+01   1.624268087442875264e-01   2.403016541391554028e+01   5.366196137398934241e+01 
-1.904999999863208870e+01   7.558672583740828088e+01   1.594035510455534543e-01   2.316543415595019795e+01   5.242131901845264963e+01 
-1.875000000000000000e+01   7.353613478523476488e+01   1.575408901524174288e-01   2.261017277275248105e+01   5.092598203907491694e+01 
-1.845000000145252628e+01   7.372440068649707712e+01   1.571053510007293097e-01   2.250106776804659248e+01   5.122334164546881397e+01 
-1.815000000044583572e+01   7.380895437624556621e+01   1.578209485454611649e-01   2.270025492593625316e+01   5.110871362124728279e+01 
-1.784999999941799587e+01   7.492127026115046817e+01   1.590896439243362770e-01   2.306533135559122272e+01   5.185594087990460110e+01 
-1.754999999841488290e+01   7.580257138476579826e+01   1.601882471697227694e-01   2.337216918194840787e+01   5.243040419907373462e+01 
-1.725000000000000000e+01   7.634893579462229241e+01   1.609408834798105314e-01   2.358917031645636087e+01   5.275977280527735047e+01 
-1.695000000162812626e+01   7.602818088910866834e+01   1.610476592519133887e-01   2.362881243023010214e+01   5.239937721847151408e+01 
-1.665000000102638822e+01   7.649423623855358301e+01   1.610378511527143786e-01   2.361914810534821285e+01   5.287510425300496308e+01 
-1.634999999886551336e+01   7.602933809417851307e+01   1.606679360625151987e-01   2.353275546064649149e+01   5.249658579461951291e+01 
-1.604999999824421764e+01   7.594167202448144849e+01   1.604163051869066658e-01   2.346266437475873801e+01   5.247900846524900942e+01 
-1.575000000000000178e+01   7.572513986375901140e+01   1.600178125798712159e-01   2.336385028985222334e+01   5.236130052442995719e+01 
